t,y
26.096,-7.913
26.129,-7.889
26.162,-7.755
26.196,-7.572
26.229,-7.328
26.262,-7.036
26.296,-6.719
26.329,-6.353
26.362,-6.037
26.396,-5.647
26.429,-5.269
26.462,-4.915
26.496,-4.538
26.529,-4.233
26.562,-3.94
26.596,-3.685
26.629,-3.502
26.662,-3.319
26.696,-3.221
26.729,-3.209
26.762,-3.234
26.796,-3.343
26.829,-3.453
26.862,-3.721
26.896,-3.977
26.929,-4.282
26.962,-4.586
26.996,-4.952
27.029,-5.342
27.062,-5.732
27.096,-6.122
27.129,-6.512
27.162,-6.817
27.196,-7.121
27.229,-7.438
27.262,-7.609
27.296,-7.767
27.329,-7.877
27.362,-7.938
27.396,-7.899
27.429,-7.856
27.462,-7.718
27.496,-7.519
27.529,-7.252
27.562,-6.985
27.596,-6.666
27.629,-6.33
27.662,-5.96
27.696,-5.563
27.729,-5.218
27.762,-4.822
27.796,-4.495
27.829,-4.158
27.862,-3.9
27.896,-3.65
27.929,-3.478
27.962,-3.348
27.996,-3.254
28.029,-3.202
28.062,-3.254
28.096,-3.366
28.129,-3.538
28.162,-3.736
28.196,-4.003
28.229,-4.322
28.262,-4.65
28.296,-5.029
28.329,-5.399
28.362,-5.796
28.396,-6.175
28.429,-6.528
28.463,-6.856
28.496,-7.166
28.529,-7.425
28.562,-7.614
28.596,-7.761
28.629,-7.89
28.663,-7.933
28.696,-7.899
28.729,-7.795
28.763,-7.657
28.796,-7.425
28.829,-7.192
28.863,-6.899
28.896,-6.589
28.929,-6.227
28.963,-5.848
28.996,-5.451
29.029,-5.081
29.063,-4.684
29.096,-4.365
29.129,-4.038
29.163,-3.745
29.196,-3.547
29.229,-3.374
29.263,-3.254
29.296,-3.21
29.329,-3.193
29.363,-3.262
29.396,-3.426
29.429,-3.572
29.463,-3.796
29.496,-4.064
29.529,-4.391
29.563,-4.719
29.596,-5.098
29.629,-5.494
29.663,-5.856
29.696,-6.235
29.729,-6.623
29.763,-6.933
29.796,-7.235
29.829,-7.485
29.863,-7.683
29.896,-7.838
29.929,-7.916
29.963,-7.942
29.996,-7.907
30.029,-7.787
30.063,-7.623
30.096,-7.442
30.129,-7.192
30.163,-6.864
30.196,-6.554
30.229,-6.218
30.263,-5.822
30.296,-5.477
30.329,-5.098
30.363,-4.744
30.396,-4.408
30.429,-4.081
30.463,-3.857
30.496,-3.615
30.529,-3.478
30.563,-3.34
30.596,-3.288
30.629,-3.288
30.663,-3.348
30.696,-3.503
30.729,-3.633
30.763,-3.891
30.796,-4.158
30.829,-4.434
30.863,-4.813
30.896,-5.149
30.929,-5.555
30.963,-5.951
30.996,-6.296
31.029,-6.623
31.063,-6.959
31.096,-7.269
31.129,-7.511
31.163,-7.7
31.196,-7.821
31.229,-7.899
31.263,-7.933
31.296,-7.856
31.329,-7.743
31.363,-7.571
31.396,-7.407
31.429,-7.14
31.463,-6.821
31.496,-6.503
31.529,-6.149
31.563,-5.804
31.596,-5.451
31.629,-5.072
31.663,-4.667
31.696,-4.357
31.729,-4.046
31.763,-3.831
31.796,-3.59
31.829,-3.435
31.863,-3.34
31.896,-3.262
31.929,-3.288
31.963,-3.4
31.996,-3.547
32.029,-3.728
32.063,-3.943
32.096,-4.245
32.129,-4.546
32.163,-4.925
32.196,-5.287
32.229,-5.658
32.263,-5.994
32.296,-6.365
32.329,-6.709
32.363,-7.02
32.396,-7.321
32.429,-7.545
32.463,-7.709
32.496,-7.847
32.529,-7.881
32.563,-7.856
32.596,-7.838
32.629,-7.726
32.663,-7.554
32.696,-7.295
32.729,-7.045
32.763,-6.761
32.796,-6.416
32.829,-6.046
